Date,TSLA
15/07/2014,14.638667
16/07/2014,14.477333
17/07/2014,14.36
18/07/2014,14.668
21/07/2014,14.702667
22/07/2014,14.638667
23/07/2014,14.832667
24/07/2014,14.902667
25/07/2014,14.904667
28/07/2014,14.988
29/07/2014,15.000667
30/07/2014,15.261333
31/07/2014,14.886667
01/08/2014,15.551333
04/08/2014,15.901333
05/08/2014,15.899333
06/08/2014,16.595333
07/08/2014,16.826
08/08/2014,16.542
11/08/2014,17.288
12/08/2014,17.330667
13/08/2014,17.354
14/08/2014,17.425333
15/08/2014,17.467333
18/08/2014,17.329332
19/08/2014,17.117332
20/08/2014,17.047333
21/08/2014,16.955999
22/08/2014,17.118668
25/08/2014,17.503332
26/08/2014,17.449333
27/08/2014,17.549999
28/08/2014,17.590668
29/08/2014,17.98
02/09/2014,18.941334
03/09/2014,18.746
04/09/2014,19.069332
05/09/2014,18.492666
08/09/2014,18.807333
09/09/2014,18.565332
10/09/2014,18.74
11/09/2014,18.687332
12/09/2014,18.613333
15/09/2014,16.924
16/09/2014,17.382668
17/09/2014,17.425333
18/09/2014,17.587999
19/09/2014,17.288
22/09/2014,16.668667
23/09/2014,16.694
24/09/2014,16.809334
25/09/2014,16.463333
26/09/2014,16.440001
29/09/2014,16.350668
30/09/2014,16.178667
01/10/2014,16.016001
02/10/2014,16.761333
03/10/2014,17.014
06/10/2014,17.374666
07/10/2014,17.304667
08/10/2014,17.285334
09/10/2014,17.134001
10/10/2014,15.794
13/10/2014,14.972667
14/10/2014,15.137333
15/10/2014,15.313333
16/10/2014,15.09
17/10/2014,15.165333
20/10/2014,15.364667
21/10/2014,15.689333
22/10/2014,15.406667
23/10/2014,15.686
24/10/2014,15.682667
27/10/2014,14.778
28/10/2014,16.184668
29/10/2014,15.873333
30/10/2014,15.910667
31/10/2014,16.113333
03/11/2014,16.172667
04/11/2014,15.928667
05/11/2014,15.398
06/11/2014,16.081333
07/11/2014,16.013332
10/11/2014,16.128668
11/11/2014,16.738667
12/11/2014,16.606667
13/11/2014,16.780001
14/11/2014,17.245333
17/11/2014,16.931999
18/11/2014,17.18
19/11/2014,16.516001
20/11/2014,16.580667
21/11/2014,16.185333
24/11/2014,16.448
25/11/2014,16.539333
26/11/2014,16.562668
28/11/2014,16.301332
01/12/2014,15.442667
02/12/2014,15.428667
03/12/2014,15.286667
04/12/2014,15.218667
05/12/2014,14.914
08/12/2014,14.290667
09/12/2014,14.459333
10/12/2014,13.989333
11/12/2014,13.925333
12/12/2014,13.8
15/12/2014,13.602667
16/12/2014,13.187333
17/12/2014,13.721333
18/12/2014,14.550667
19/12/2014,14.619333
22/12/2014,14.84
23/12/2014,14.731333
24/12/2014,14.817333
26/12/2014,15.188
29/12/2014,15.047333
30/12/2014,14.815333
31/12/2014,14.827333
02/01/2015,14.620667
05/01/2015,14.006
06/01/2015,14.085333
07/01/2015,14.063333
08/01/2015,14.041333
09/01/2015,13.777333
12/01/2015,13.480667
13/01/2015,13.616667
14/01/2015,12.846
15/01/2015,12.791333
16/01/2015,12.871333
20/01/2015,12.795333
21/01/2015,13.104667
22/01/2015,13.441333
23/01/2015,13.419333
26/01/2015,13.77
27/01/2015,13.732
28/01/2015,13.291333
29/01/2015,13.68
30/01/2015,13.573333
02/02/2015,14.062667
03/02/2015,14.557333
04/02/2015,14.57
05/02/2015,14.732667
06/02/2015,14.490667
09/02/2015,14.498667
10/02/2015,14.419333
11/02/2015,14.186667
12/02/2015,13.525333
13/02/2015,13.584667
17/02/2015,13.623333
18/02/2015,13.630667
19/02/2015,14.114
20/02/2015,14.474
23/02/2015,13.822667
24/02/2015,13.607333
25/02/2015,13.584
26/02/2015,13.812667
27/02/2015,13.556
02/03/2015,13.155333
03/03/2015,13.304
04/03/2015,13.496
05/03/2015,13.375333
06/03/2015,12.925333
09/03/2015,12.725333
10/03/2015,12.688
11/03/2015,12.916
12/03/2015,12.738
13/03/2015,12.578667
16/03/2015,13.046667
17/03/2015,12.982
18/03/2015,13.380667
19/03/2015,13.043333
20/03/2015,13.205333
23/03/2015,13.308667
24/03/2015,13.448
25/03/2015,12.953333
26/03/2015,12.694
27/03/2015,12.333333
30/03/2015,12.704667
